species,sp code,block,treatment,date,obs period,Sowing group,bout,obs day,seed,seedling
Astrocaryum murumuru,astrmu,35,MSH,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,35,OPEN,2000-02-29,2000-02-29,1,4,35,0,0
Astrocaryum murumuru,astrmu,50,CCA,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,50,CS,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,50,MCH,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,50,MSH,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,50,OPEN,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,52,CCA,2000-02-29,2000-02-29,1,4,35,5,0
Astrocaryum murumuru,astrmu,52,CS,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,52,MCH,2000-02-29,2000-02-29,1,4,35,5,0
Astrocaryum murumuru,astrmu,52,MSH,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,52,OPEN,2000-02-29,2000-02-29,1,4,35,0,0
Astrocaryum murumuru,astrmu,53,CCA,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,53,CS,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,53,MCH,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,53,MSH,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,53,OPEN,2000-02-29,2000-02-29,1,4,35,0,0
Astrocaryum murumuru,astrmu,Cadle,CCA,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,Cadle,CS,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,Cadle,MCH,2000-02-29,2000-02-29,1,4,35,2,0
Astrocaryum murumuru,astrmu,Cadle,MSH,2000-02-29,2000-02-29,1,4,35,6,0
Astrocaryum murumuru,astrmu,Cadle,OPEN,2000-02-29,2000-02-29,1,4,35,1,0
Astrocaryum murumuru,astrmu,3,CCA,2000-03-27,2000-03-27,1,5,62,0,0
Astrocaryum murumuru,astrmu,3,CS,2000-03-27,2000-03-27,1,5,62,0,0
Astrocaryum murumuru,astrmu,3,MCH,2000-03-27,2000-03-27,1,5,62,0,0
Astrocaryum murumuru,astrmu,3,MSH,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,3,OPEN,2000-03-27,2000-03-27,1,5,62,0,0
Astrocaryum murumuru,astrmu,8,CCA,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,8,CS,2000-03-27,2000-03-27,1,5,62,0,0
Astrocaryum murumuru,astrmu,8,MCH,2000-03-27,2000-03-27,1,5,62,1,0
Astrocaryum murumuru,astrmu,8,MSH,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,8,OPEN,2000-03-27,2000-03-27,1,5,62,5,0
Astrocaryum murumuru,astrmu,12,CCA,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,12,CS,2000-03-27,2000-03-27,1,5,62,NA,NA
Astrocaryum murumuru,astrmu,12,MCH,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,12,MSH,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,12,OPEN,2000-03-27,2000-03-27,1,5,62,4,0
Astrocaryum murumuru,astrmu,35,CCA,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,35,CS,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,35,MCH,2000-03-27,2000-03-27,1,5,62,0,0
Astrocaryum murumuru,astrmu,35,MSH,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,35,OPEN,2000-03-27,2000-03-27,1,5,62,0,0
Astrocaryum murumuru,astrmu,50,CCA,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,50,CS,2000-03-27,2000-03-27,1,5,62,2,0
Astrocaryum murumuru,astrmu,50,MCH,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,50,MSH,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,50,OPEN,2000-03-27,2000-03-27,1,5,62,1,0
Astrocaryum murumuru,astrmu,52,CCA,2000-03-27,2000-03-27,1,5,62,5,0
Astrocaryum murumuru,astrmu,52,CS,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,52,MCH,2000-03-27,2000-03-27,1,5,62,5,0
Astrocaryum murumuru,astrmu,52,MSH,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,52,OPEN,2000-03-27,2000-03-27,1,5,62,0,0
Astrocaryum murumuru,astrmu,53,CCA,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,53,CS,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,53,MCH,2000-03-27,2000-03-27,1,5,62,5,0
Astrocaryum murumuru,astrmu,53,MSH,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,53,OPEN,2000-03-27,2000-03-27,1,5,62,0,0
Astrocaryum murumuru,astrmu,Cadle,CCA,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,Cadle,CS,2000-03-27,2000-03-27,1,5,62,1,0
Astrocaryum murumuru,astrmu,Cadle,MCH,2000-03-27,2000-03-27,1,5,62,0,0
Astrocaryum murumuru,astrmu,Cadle,MSH,2000-03-27,2000-03-27,1,5,62,6,0
Astrocaryum murumuru,astrmu,Cadle,OPEN,2000-03-27,2000-03-27,1,5,62,1,0
Astrocaryum murumuru,astrmu,3,CCA,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,3,CS,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,3,MCH,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,3,MSH,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,3,OPEN,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,8,CCA,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,8,CS,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,8,MCH,2000-04-15,2000-04-15,1,6,81,1,0
Astrocaryum murumuru,astrmu,8,MSH,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,8,OPEN,2000-04-15,2000-04-15,1,6,81,1,0
Astrocaryum murumuru,astrmu,12,CCA,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,12,CS,2000-04-15,2000-04-15,1,6,81,NA,NA
Astrocaryum murumuru,astrmu,12,MCH,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,12,MSH,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,12,OPEN,2000-04-15,2000-04-15,1,6,81,4,0
Astrocaryum murumuru,astrmu,35,CCA,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,35,CS,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,35,MCH,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,35,MSH,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,35,OPEN,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,50,CCA,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,50,CS,2000-04-15,2000-04-15,1,6,81,2,0
Astrocaryum murumuru,astrmu,50,MCH,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,50,MSH,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,50,OPEN,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,52,CCA,2000-04-15,2000-04-15,1,6,81,5,0
Astrocaryum murumuru,astrmu,52,CS,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,52,MCH,2000-04-15,2000-04-15,1,6,81,4,0
Astrocaryum murumuru,astrmu,52,MSH,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,52,OPEN,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,53,CCA,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,53,CS,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,53,MCH,2000-04-15,2000-04-15,1,6,81,1,0
Astrocaryum murumuru,astrmu,53,MSH,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,53,OPEN,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,Cadle,CCA,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,Cadle,CS,2000-04-15,2000-04-15,1,6,81,1,0
Astrocaryum murumuru,astrmu,Cadle,MCH,2000-04-15,2000-04-15,1,6,81,0,0
Astrocaryum murumuru,astrmu,Cadle,MSH,2000-04-15,2000-04-15,1,6,81,6,0
Astrocaryum murumuru,astrmu,Cadle,OPEN,2000-04-15,2000-04-15,1,6,81,1,0
Astrocaryum murumuru,astrmu,3,CCA,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,3,CS,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,3,MCH,2000-05-15,2000-05-15,1,7,111,0,0
Astrocaryum murumuru,astrmu,3,MSH,2000-05-15,2000-05-15,1,7,111,6,0
